Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,1999,790,4430143,17.83,17.69486198
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2000,766,4451687,17.21,17.11197377
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2001,737,4467634,16.5,16.41144522
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2002,724,4480089,16.16,16.07692508
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2003,765,4503491,16.99,16.79616051
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2004,679,4530729,14.99,14.78584668
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2005,736,4569805,16.11,15.98934301
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2006,780,4628981,16.85,16.69536642
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2007,812,4672840,17.38,17.24171349
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2008,820,4718206,17.38,17.31070664
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2009,830,4757938,17.44,17.18499124
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2010,782,4780118,16.36,16.1775157
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2011,785,4799642,16.36,15.98654583
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2012,831,4816632,17.25,16.98420419
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2013,860,4831586,17.8,17.50737317
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2014,815,4843737,16.83,16.83092022
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2015,958,4854803,19.73,19.5949107
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2016,1046,4866824,21.49,21.38351041
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2017,1124,4877989,23.04,22.84391014
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2018,1064,4891628,21.75,21.69252007
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2019,1076,4907965,21.92,22.14576993
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,2020,1141,4921532,23.18,23.48921861
Both Sexes,All Races,Alabama,Both,All Ages,1999,2020,Firearm,,18921,103603999,18.26,.
Both Sexes,All Races,Alaska,Both,All Ages,1999,2020,Firearm,1999,88,624781,14.08,15.90478913
