FIP,Year,state,hfr,HFR_se,universl,permit,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,HuntLic,GunsAmmo,BackChk,PewQChng,BS1,BS2,BS3,Deaths,Population,Crude_Rate,Age_Adjusted_Rate
1,1999,Alabama,0.537,0.036,0,0,0.697916667,0.801742919,-9,0.520277205,-9,-9,0.240077994,-0.280923069,0.977564585,0,12,7,0,790,4430143,17.83,17.69486198
2,1999,Alaska,0.571,0.044,0,0,0.454545455,0.608108108,-9,-9,-9,-9,0.537979869,2.482519081,1.643390963,0,12,7,0,88,624781,14.08,15.90478913
4,1999,Arizona,0.409,0.036,0,0,0.380368098,0.686567164,-9,0.386336388,-9,-9,0.256541274,-0.23081002,-0.291635934,0,12,7,0,822,5023824,16.36,16.30773795
5,1999,Arkansas,0.555,0.036,0,0,0.542372881,0.729241877,-9,0.55617674,-9,-9,0.408338494,0.329353022,1.596567392,0,12,7,0,388,2651860,14.63,14.64772121
6,1999,California,0.271,0.036,1,1,0.314417178,0.547216495,-9,0.253743664,-9,-9,0.157187944,-0.863539279,-0.649713603,0,12,7,0,3054,33499204,9.12,9.261630481
8,1999,Colorado,0.43,0.036,0,0,0.32231405,0.59602649,-9,0.433633136,-9,-9,0.284735719,0.076521576,1.238430868,0,12,7,0,452,4226018,10.7,10.76625855
9,1999,Connecticut,0.198,0.036,1,1,0.070175439,0.493087558,-9,0.153651657,-9,-9,0.201243007,-0.735252815,-1.144365729,0,12,7,0,199,3386401,5.88,5.989846771
10,1999,Delaware,0.319,0.036,0,0,0.230769231,0.561643836,-9,0.321388184,-9,-9,0.20177409,-0.662384276,-0.682000899,0,12,7,0,68,774990,8.77,8.733378558
12,1999,Florida,0.33,0.036,0,0,0.415178571,0.600885515,-9,0.314607702,-9,-9,0.142661829,-0.863092927,-0.931164326,0,12,7,0,1721,15759421,10.92,10.65594318
13,1999,Georgia,0.488,0.036,0,0,0.609195402,0.746781116,-9,0.454429608,-9,-9,0.320066444,-0.571539136,0.447828355,0,12,7,0,1105,8045966,13.73,13.66129512
15,1999,Hawaii,0.075,0.044,1,1,0,0.214953271,-9,-9,-9,-9,0.089112324,-0.648508365,-1.601762893,0,12,7,0,42,1210300,3.47,3.430358113
16,1999,Idaho,0.583,0.036,0,0,0.527777778,0.731034483,-9,0.496081912,-9,-9,0.78714445,0.761491194,1.326866921,0,12,7,0,151,1275675,11.84,12.21604179
17,1999,Illinois,0.279,0.036,0,1,0.24120603,0.527405603,-9,0.29249742,-9,-9,0.260039714,-1.085046683,-1.057757544,0,12,7,0,1209,12359023,9.78,9.677359331
